crime_id,crime_type,criminal_name,crime_time,place_of_crime,jail_entry_date,bail_granted,duration_of_imprisonment,co_criminals,motive,latitude,longitude,date_of_crime
8723,,Rajesh Kumar,14:53:00,Purasawalkam,2022-11-23,No,5 years,Suresh Iyer,Financial Gain,8.742121497751844,78.11810117636765,10/02/1948
8724,Cyber Crime,Rajesh Kumar,01:51:00,Adyar,2019-11-02,No,10 years,Anita Sharma,Self-Defense,8.746333722026508,78.13688703699643,11/01/1948
8725,,Pooja Mehta,05:55:00,Mylapore,2018-06-27,Yes,1 year,Anita Sharma,Accidental,8.716014118400514,78.1830262195108,27/03/1949
8726,Kidnapping,Vikram Rao,11:56:00,Kodambakkam,2021-10-25,Yes,,Anita Sharma,Personal Feud,8.77091040096349,78.1412644568805,22/05/1951
8727,Assault,Amit Joshi,10:41:00,Purasawalkam,2023-06-17,Yes,6 months,Suresh Iyer,Self-Defense,8.742946571928002,78.11662664990577,21/02/1952
8728,Fraud,,13:32:00,T. Nagar,2023-05-22,No,10 years,,Personal Feud,8.747044925815695,78.18093821811257,
8729,Murder,Amit Joshi,15:11:00,Mylapore,2017-12-19,Yes,,,Personal Feud,8.704697244602043,78.11178764114281,22/01/1952
8730,Drug Possession,Suresh Iyer,11:54:00,Purasawalkam,2017-10-09,No,10 years,Mohan Verma,Accidental,8.721893776033673,78.15369530982721,24/12/1958
8731,Drug Possession,Nikita Sinha,11:28:00,Velachery,2023-06-10,Yes,5 years,,Political,8.782263894056852,78.11131680803365,18/06/1949
8732,Murder,Anita Sharma,20:50:00,Royapettah,2022-10-21,Yes,2 years,Anita Sharma,,8.715202726176313,78.17690680109105,08/10/1946
8733,Fraud,Rajesh Kumar,01:12:00,Purasawalkam,2021-08-16,Yes,2 years,Anita Sharma,Financial Gain,8.758506087832465,78.14636970202915,12/12/1947
8734,Murder,Ramesh Gupta,11:13:00,Anna Nagar,2024-08-10,Yes,6 months,-,Accidental,8.701868965081724,78.10147898775263,09/04/1953
8735,Murder,Mohan Verma,01:43:00,Royapettah,2020-07-20,Yes,10 years,,Self-Defense,8.704682310073698,78.13506143084658,01/12/1953
8736,Kidnapping,Nikita Sinha,08:09:00,T. Nagar,2020-08-19,No,,Deepak Choudhary,Accidental,8.74930610635851,78.10384396031928,19/05/1949
8737,Murder,,21:37:00,Royapettah,2017-01-06,Yes,2 years,,Revenge,8.758581431356832,78.18973662601692,
8738,Theft,Anita Sharma,16:55:00,Adyar,2018-03-04,No,3 years,Anita Sharma,Revenge,8.748235859717804,78.16881981392135,08/09/1946
8739,Kidnapping,Rajesh Kumar,11:33:00,T. Nagar,2021-02-12,No,5 years,Mohan Verma,Political,8.772119504866483,78.16367612238645,12/11/1947
8740,Cyber Crime,Nikita Sinha,07:14:00,Royapettah,2019-03-10,Yes,6 months,Suresh Iyer,Political,8.737947904113415,78.17079910950353,19/04/1949
8741,Fraud,Nikita Sinha,18:28:00,Royapettah,2021-11-02,No,5 years,Deepak Choudhary,Political,8.769280392887,78.12215978339172,20/03/1949
8742,,Anita Sharma,15:24:00,Kodambakkam,2019-02-24,No,6 months,,Revenge,8.729048748382766,78.1638573786737,09/08/1946
8743,Theft,Pooja Mehta,15:45:00,Kodambakkam,2018-08-06,Yes,1 year,,Self-Defense,8.72272630384058,78.17206852997599,25/02/1949
8744,Assault,Pooja Mehta,09:02:00,,2017-07-25,Yes,6 months,Mohan Verma,Personal Feud,8.701241535739577,78.12441799627985,26/01/1949
8745,Theft,Mohan Verma,11:41:00,Kodambakkam,2018-02-03,Yes,1 year,Mohan Verma,Personal Feud,8.726131191457652,78.17235101434511,01/11/1953
8746,Theft,Rajesh Kumar,12:49:00,Adyar,2023-05-21,No,3 years,Deepak Choudhary,Accidental,8.706547883570819,78.14033790492515,13/10/1947
8747,Fraud,Ramesh Gupta,16:02:00,Purasawalkam,2015-04-23,No,6 months,Suresh Iyer,Personal Feud,8.780710542495566,78.16843447318843,10/03/1953
8748,Cyber Crime,Pooja Mehta,23:54:00,T. Nagar,2024-06-22,Yes,1 year,Mohan Verma,Revenge,8.702301726045736,78.10606947587442,27/12/1948
8749,Kidnapping,Vikram Rao,03:39:00,Anna Nagar,2015-03-07,Yes,10 years,Deepak Choudhary,Financial Gain,8.718948037403482,78.13530427179602,22/04/1951
8750,Assault,Deepak Choudhary,17:57:00,Adyar,2018-03-24,No,3 years,Suresh Iyer,Revenge,8.724916277426413,78.13440620902885,26/06/1959
8751,Fraud,Deepak Choudhary,23:54:00,Kodambakkam,2024-03-06,No,5 years,,Accidental,8.747049508557303,78.10891658000918,27/05/1959
8752,Fraud,Pooja Mehta,07:14:00,Anna Nagar,2018-04-13,No,5 years,Anita Sharma,Financial Gain,8.790150668502637,78.14796709745103,27/11/1948
8753,Assault,Nikita Sinha,05:58:00,Purasawalkam,2020-09-16,Yes,1 year,Suresh Iyer,Personal Feud,8.793113751840126,78.10416401097744,18/02/1949
8754,Fraud,Rajesh Kumar,04:09:00,Velachery,2022-02-27,No,,Suresh Iyer,Accidental,8.715649557266786,78.19329850537851,13/09/1947
8755,,Rajesh Kumar,03:57:00,Velachery,2019-05-10,No,2 years,Suresh Iyer,Financial Gain,8.798618821072624,78.16387688790508,14/08/1947
8756,Cyber Crime,Amit Joshi,21:42:00,Royapettah,2017-07-20,No,3 years,Mohan Verma,Political,8.758132961036077,78.14255610123809,23/12/1951
8757,Drug Possession,Vikram Rao,15:47:00,Adyar,2023-10-28,Yes,6 months,Anita Sharma,Political,8.768409980464002,78.18995129482492,23/03/1951
8758,Assault,Vikram Rao,03:46:00,Purasawalkam,2024-06-27,No,10 years,Suresh Iyer,Self-Defense,8.77712827755106,78.17192639005309,21/02/1951
8759,Cyber Crime,Anita Sharma,13:40:00,Mylapore,2021-09-05,No,10 years,-,Personal Feud,8.7855505002951,78.12119133081083,10/07/1946
8760,Theft,Anita Sharma,12:23:00,Anna Nagar,2021-05-11,Yes,5 years,Anita Sharma,Revenge,8.710408312121391,78.15815971589561,10/06/1946
8761,Theft,,10:04:00,Royapettah,2017-04-08,Yes,10 years,Mohan Verma,Revenge,8.732483236389422,78.15972515690856,
8762,Assault,Nikita Sinha,03:31:00,T. Nagar,2017-01-13,Yes,1 year,Mohan Verma,Financial Gain,8.797791657720953,78.18414879313461,19/01/1949
8763,,Rajesh Kumar,12:23:00,T. Nagar,2024-10-07,Yes,3 years,Suresh Iyer,Financial Gain,8.727254233448821,78.18038649213675,15/07/1947
8764,Theft,Rajesh Kumar,23:45:00,Royapettah,2020-08-12,No,1 year,Mohan Verma,Financial Gain,8.74424428004874,78.10967512912318,15/06/1947
8765,Cyber Crime,Amit Joshi,05:17:00,Anna Nagar,2019-02-15,No,6 months,Anita Sharma,Political,8.71317322160444,78.14686167266451,23/11/1951
8766,Cyber Crime,Ramesh Gupta,09:14:00,Velachery,2023-05-22,Yes,2 years,Deepak Choudhary,Self-Defense,8.758170778925342,78.10699922665955,08/02/1953
8767,Fraud,Ramesh Gupta,13:14:00,Mylapore,2022-10-26,Yes,1 year,,Accidental,8.704062732233323,78.10694155204853,09/01/1953
8768,Theft,Pooja Mehta,10:07:00,Kodambakkam,2018-11-24,Yes,1 year,Mohan Verma,Self-Defense,8.74992246395386,78.13733131782867,28/10/1948
8769,Murder,Anita Sharma,09:52:00,Kodambakkam,2023-01-01,Yes,3 years,Suresh Iyer,Revenge,8.750434136193308,78.14322177077186,11/05/1946
8770,Drug Possession,Ramesh Gupta,23:46:00,Purasawalkam,2024-12-23,Yes,5 years,Suresh Iyer,Revenge,8.719164462487068,78.16405681292694,10/12/1952
8771,Theft,Vikram Rao,15:22:00,Anna Nagar,2023-01-28,No,2 years,Mohan Verma,Accidental,8.703816800933502,78.12677823153805,22/01/1951
8772,,Deepak Choudhary,08:15:00,Velachery,2017-01-01,Yes,6 months,-,Revenge,8.722909894554988,78.11236705350734,27/04/1959
8773,Fraud,Suresh Iyer,09:48:00,Purasawalkam,2015-01-19,Yes,1 year,Mohan Verma,Personal Feud,8.769399838622558,78.11466483042615,24/11/1958
8774,Assault,Rajesh Kumar,05:18:00,Mylapore,2018-09-02,No,6 months,Deepak Choudhary,Political,8.725005645553315,78.14007820339063,16/05/1947
8775,Fraud,Rajesh Kumar,15:52:00,Adyar,2024-01-10,No,3 years,Deepak Choudhary,Revenge,8.746499098709924,78.17148546214642,16/04/1947
8776,Fraud,Mohan Verma,22:39:00,Kodambakkam,2015-06-26,No,,,Self-Defense,8.752162469103624,78.18963493894782,02/10/1953
8777,Fraud,Nikita Sinha,20:34:00,Velachery,2016-05-27,No,1 year,Anita Sharma,Revenge,8.70076098408488,78.16759477371806,20/12/1948
8778,Fraud,Nikita Sinha,21:34:00,Adyar,2023-02-02,No,5 years,Anita Sharma,Financial Gain,8.733154911301916,78.11788848517494,20/11/1948
8779,Theft,Mohan Verma,09:02:00,Velachery,2019-08-22,Yes,6 months,,Financial Gain,8.79316721986208,78.13182034669452,02/09/1953
8780,Theft,Ramesh Gupta,18:40:00,Mylapore,2019-11-21,Yes,,Mohan Verma,Financial Gain,8.7201301696096,78.17255774930052,10/11/1952
8781,Cyber Crime,Deepak Choudhary,08:40:00,Mylapore,2021-05-21,Yes,10 years,Mohan Verma,Self-Defense,8.740092678702382,78.1575520795793,28/03/1959
8782,Cyber Crime,Anita Sharma,12:12:00,Anna Nagar,2017-04-15,Yes,1 year,Deepak Choudhary,Self-Defense,8.74980441642202,78.18734107530776,11/04/1946
8783,Assault,Rajesh Kumar,07:28:00,T. Nagar,2018-03-19,No,,,Personal Feud,8.763200424181086,78.13339397201733,17/03/1947
8784,Theft,,12:17:00,Purasawalkam,2019-03-07,No,,,Political,8.716700902639948,78.1545192351657,
8785,Drug Possession,Mohan Verma,02:48:00,Kodambakkam,2016-10-27,Yes,10 years,Suresh Iyer,Personal Feud,8.778909661952763,78.1139408202908,03/08/1953
8786,Murder,Nikita Sinha,12:46:00,Velachery,2022-02-11,No,,Deepak Choudhary,Self-Defense,8.72882949797511,78.17108885713183,21/10/1948
8787,Drug Possession,Ramesh Gupta,11:39:00,Mylapore,2024-01-10,Yes,6 months,Mohan Verma,Revenge,8.792225497270058,78.10504033621568,11/10/1952
8788,Theft,Pooja Mehta,03:43:00,Royapettah,2015-05-23,Yes,10 years,Deepak Choudhary,Political,8.798296507749296,78.13047035809149,28/09/1948
8789,Murder,Amit Joshi,09:27:00,Anna Nagar,2017-06-03,No,5 years,Suresh Iyer,Financial Gain,8.703457794797563,78.15242911696569,24/10/1951
8790,Theft,Pooja Mehta,17:28:00,Purasawalkam,2018-11-12,No,1 year,Anita Sharma,Accidental,8.768771036972831,78.1293427916567,29/08/1948
8791,Murder,Pooja Mehta,11:59:00,T. Nagar,2018-03-06,Yes,10 years,Deepak Choudhary,Political,8.733234221909486,78.14752984598891,30/07/1948
8792,Kidnapping,Nikita Sinha,16:49:00,Velachery,2020-07-19,Yes,2 years,-,Revenge,8.761430321002534,78.12341278857264,21/09/1948
8793,Kidnapping,Ramesh Gupta,01:10:00,Mylapore,2015-07-20,No,5 years,Anita Sharma,Political,8.798750915846208,78.19571329495685,11/09/1952
8794,Cyber Crime,Suresh Iyer,21:01:00,Purasawalkam,2017-05-25,Yes,2 years,Suresh Iyer,Personal Feud,8.728453912124124,78.13907286801602,25/10/1958
8795,Theft,Vikram Rao,16:08:00,Kodambakkam,2020-07-07,Yes,2 years,-,Self-Defense,8.739047164405443,78.13151983785521,23/12/1950
8796,Assault,Nikita Sinha,19:26:00,Royapettah,2024-07-25,No,10 years,-,Self-Defense,8.781939533274931,78.12453738191175,22/08/1948
8797,Murder,Deepak Choudhary,19:42:00,Royapettah,2023-02-09,No,6 months,Suresh Iyer,Revenge,8.733598617978627,78.13059439255018,26/02/1959
8798,Fraud,Ramesh Gupta,16:58:00,Purasawalkam,2016-11-26,No,1 year,Suresh Iyer,Political,8.79693213145267,78.17396512961074,12/08/1952
8799,Fraud,Amit Joshi,02:29:00,Purasawalkam,2019-09-02,Yes,6 months,Mohan Verma,,8.718575927605645,78.1287860376176,24/09/1951
8800,Cyber Crime,Amit Joshi,20:43:00,Purasawalkam,2024-06-03,No,2 years,Mohan Verma,Self-Defense,8.759392502006513,78.13654288359172,25/08/1951
8801,Cyber Crime,Deepak Choudhary,18:03:00,Mylapore,2019-08-10,No,10 years,-,Revenge,8.728396260017837,78.15520344326293,27/01/1959
8802,Assault,Anita Sharma,09:05:00,Purasawalkam,2024-09-17,Yes,1 year,Suresh Iyer,Self-Defense,8.786540492466118,78.14662089917022,12/03/1946
8803,Kidnapping,,00:28:00,Kodambakkam,2016-04-12,No,3 years,Anita Sharma,Self-Defense,8.75319769135326,78.13096811114264,
8804,Theft,Vikram Rao,19:55:00,Anna Nagar,2022-12-08,No,3 years,Deepak Choudhary,Accidental,8.796699264625667,78.19241676139859,23/11/1950
8805,Cyber Crime,Suresh Iyer,20:17:00,Velachery,2020-01-27,Yes,10 years,Mohan Verma,Personal Feud,8.776744787287441,78.14220441020134,25/09/1958
8806,Murder,Ramesh Gupta,03:48:00,T. Nagar,2015-08-02,No,5 years,Suresh Iyer,Revenge,8.7619816462025,78.12221782670755,13/07/1952
8807,Drug Possession,Anita Sharma,12:56:00,Adyar,2022-06-18,No,6 months,Anita Sharma,Personal Feud,8.792768466307225,78.16400094838025,10/02/1946
8808,,Pooja Mehta,22:13:00,T. Nagar,2021-06-07,Yes,,-,Financial Gain,8.7828693844291,78.18305371576737,30/06/1948
8809,Murder,Deepak Choudhary,02:18:00,Royapettah,2018-12-17,Yes,3 years,Deepak Choudhary,Financial Gain,8.764369927163587,78.15218557956803,28/12/1958
8810,Theft,Rajesh Kumar,12:42:00,Anna Nagar,2021-09-13,No,10 years,Anita Sharma,Financial Gain,8.726677304718056,78.10730156613533,15/02/1947
8811,Theft,Anita Sharma,14:23:00,Purasawalkam,2019-11-25,No,2 years,-,Accidental,8.71853326391437,78.13101064648596,11/01/1946
8812,Fraud,Pooja Mehta,19:05:00,Adyar,2023-12-18,No,10 years,-,Political,8.706841346096146,78.10819531080743,31/05/1948
8813,Kidnapping,Nikita Sinha,10:05:00,Royapettah,2017-12-27,Yes,3 years,-,Financial Gain,8.783569811131338,78.18921427628463,23/07/1948
8814,Kidnapping,Rajesh Kumar,14:06:00,,2015-07-17,Yes,6 months,Deepak Choudhary,Accidental,8.757636977515112,78.16834979877865,16/01/1947
8815,Assault,Vikram Rao,13:08:00,Purasawalkam,2021-01-12,No,10 years,Suresh Iyer,Revenge,8.73955638163789,78.13353757733132,24/10/1950
8816,Fraud,Deepak Choudhary,14:54:00,Purasawalkam,2018-05-20,Yes,,Suresh Iyer,Political,8.727642567376629,78.18577880876421,28/11/1958
8817,,Vikram Rao,07:48:00,Velachery,2016-01-04,No,5 years,,Personal Feud,8.77399961177971,78.16628263070785,24/09/1950
8818,Fraud,Deepak Choudhary,08:07:00,Royapettah,2023-03-15,Yes,10 years,Mohan Verma,Revenge,8.71676039337416,78.10811037085692,29/10/1958
8819,Theft,Deepak Choudhary,19:36:00,T. Nagar,2020-02-19,Yes,2 years,Anita Sharma,Financial Gain,8.721536914159287,78.1377350397902,29/09/1958
8820,Cyber Crime,Vikram Rao,01:58:00,T. Nagar,2018-05-22,No,2 years,-,Personal Feud,8.796969765486356,78.12032861317059,25/08/1950
8821,Drug Possession,Vikram Rao,10:02:00,Anna Nagar,2018-06-28,Yes,2 years,Mohan Verma,Personal Feud,8.71532582655829,78.10091939751403,26/07/1950
8822,Assault,Anita Sharma,05:45:00,,2015-07-06,Yes,3 years,Anita Sharma,,8.793827577099457,78.1378465323656,12/12/1945
8823,Theft,Suresh Iyer,08:59:00,Royapettah,2024-03-13,No,2 years,Anita Sharma,Revenge,8.752487037013706,78.10879977012029,26/08/1958
8824,Kidnapping,Vikram Rao,12:54:00,Royapettah,2021-10-06,Yes,5 years,Suresh Iyer,Financial Gain,8.705838170803082,78.16400731309503,26/06/1950
8825,Fraud,Anita Sharma,12:12:00,Velachery,2015-02-04,No,10 years,-,Accidental,8.740342386904148,78.16350924370892,12/11/1945
8826,Fraud,Nikita Sinha,01:30:00,T. Nagar,2015-10-19,Yes,5 years,,Self-Defense,8.758230789998057,78.12496358161569,23/06/1948
8827,Murder,Anita Sharma,10:52:00,Kodambakkam,2016-11-05,No,,Anita Sharma,Personal Feud,8.718583210054682,78.14145139464705,13/10/1945
8828,Assault,Ramesh Gupta,02:10:00,Adyar,2020-07-07,No,10 years,Anita Sharma,Financial Gain,8.741191308906988,78.19150079439883,13/06/1952
8829,Cyber Crime,Nikita Sinha,21:57:00,Kodambakkam,2021-04-19,No,2 years,Mohan Verma,Accidental,8.765269465387396,78.17070879879854,24/05/1948
8830,Cyber Crime,Amit Joshi,21:57:00,Kodambakkam,2024-01-15,Yes,3 years,,Accidental,8.797170165451707,78.17666312182178,26/07/1951
8831,Drug Possession,Anita Sharma,15:25:00,Kodambakkam,2021-11-10,No,1 year,Mohan Verma,Financial Gain,8.795694696755541,78.16032081672448,13/09/1945
8832,Fraud,Mohan Verma,15:47:00,Anna Nagar,2023-04-18,Yes,3 years,Deepak Choudhary,Financial Gain,8.76758822099101,78.1473033641796,04/07/1953
8833,Kidnapping,Ramesh Gupta,03:50:00,Purasawalkam,2024-02-07,No,3 years,,Political,8.79330961672267,78.11049475266783,14/05/1952
8834,Fraud,Amit Joshi,20:43:00,T. Nagar,2024-03-13,Yes,10 years,Mohan Verma,Revenge,8.771020786239824,78.14712438384284,26/06/1951
8835,Cyber Crime,Rajesh Kumar,21:56:00,Kodambakkam,2023-07-12,Yes,,,Financial Gain,8.7590694549212,78.16014956927394,17/12/1946
8836,Theft,Vikram Rao,07:14:00,Royapettah,2017-05-04,Yes,2 years,-,Political,8.772875114981346,78.18155570494523,27/05/1950
8837,Cyber Crime,Nikita Sinha,19:00:00,Royapettah,2023-11-12,No,2 years,,Financial Gain,8.785776642656197,78.18887513112792,24/04/1948
8838,Theft,Nikita Sinha,15:52:00,Royapettah,2017-08-21,Yes,,Mohan Verma,Self-Defense,8.768800347525836,78.17726513036364,25/03/1948
8839,Kidnapping,Vikram Rao,02:23:00,Kodambakkam,2015-10-07,Yes,,Mohan Verma,Accidental,8.782299656299374,78.155881463429,27/04/1950
8840,Fraud,Nikita Sinha,04:17:00,Mylapore,2016-07-12,Yes,10 years,Mohan Verma,,8.716031754422717,78.13688120420825,24/02/1948
8841,Theft,Rajesh Kumar,11:26:00,Purasawalkam,2016-01-10,Yes,3 years,Mohan Verma,Self-Defense,8.703851430749936,78.11389609586762,17/11/1946
8842,Theft,Ramesh Gupta,09:43:00,Mylapore,2021-09-09,No,10 years,Mohan Verma,Accidental,8.730276805263246,78.15700924476468,14/04/1952
8843,Assault,Ramesh Gupta,08:49:00,Royapettah,2018-11-15,Yes,1 year,Deepak Choudhary,Political,8.709333852827857,78.10817502885932,15/03/1952
8844,Assault,Rajesh Kumar,04:31:00,Mylapore,2024-09-18,Yes,1 year,Anita Sharma,Financial Gain,8.735090190039736,78.18548736733638,18/10/1946
8845,Kidnapping,Deepak Choudhary,01:06:00,Anna Nagar,2016-10-09,No,2 years,Deepak Choudhary,Revenge,8.792958801716088,78.14467773658637,30/08/1958
8846,,Suresh Iyer,06:51:00,Mylapore,2016-02-10,No,10 years,,Accidental,8.735845566033477,78.15031269471092,27/07/1958
8847,Theft,Nikita Sinha,17:19:00,Mylapore,2022-04-03,Yes,3 years,Suresh Iyer,Political,8.776850051146015,78.13816400128051,25/01/1948
8848,Murder,Amit Joshi,22:38:00,Royapettah,2023-01-23,Yes,1 year,-,Personal Feud,8.709369556765939,78.12254561970506,27/05/1951
8849,Murder,Ramesh Gupta,11:28:00,Velachery,2020-04-16,No,10 years,-,Self-Defense,8.726469906787141,78.19261761734711,14/02/1952
8850,Kidnapping,Suresh Iyer,08:25:00,Purasawalkam,2024-04-10,No,5 years,Anita Sharma,,8.790084931792942,78.16527079550042,27/06/1958
8851,Murder,Rajesh Kumar,08:13:00,Purasawalkam,2024-11-25,Yes,,Suresh Iyer,Personal Feud,8.785562000077705,78.17307938906647,18/09/1946
8852,Cyber Crime,Rajesh Kumar,06:14:00,Adyar,2018-10-07,No,,Deepak Choudhary,Financial Gain,8.795940183648012,78.18158437606269,19/08/1946
8853,Cyber Crime,Vikram Rao,13:29:00,Kodambakkam,2015-06-03,Yes,3 years,Anita Sharma,,8.794573842370148,78.17220079926862,28/03/1950
8854,Cyber Crime,Pooja Mehta,13:53:00,Anna Nagar,2024-07-05,Yes,3 years,Anita Sharma,Personal Feud,8.77549162366632,78.16646791662625,01/05/1948
8855,Drug Possession,Pooja Mehta,12:56:00,Royapettah,2017-05-20,No,2 years,Mohan Verma,Personal Feud,8.768496234398317,78.14223876127687,01/04/1948
8856,Cyber Crime,Mohan Verma,13:49:00,T. Nagar,2022-02-21,Yes,3 years,Suresh Iyer,Revenge,8.76013293393388,78.1880350662783,04/06/1953
8857,Theft,Mohan Verma,23:44:00,Royapettah,2021-07-16,Yes,,Anita Sharma,Political,8.730331387106428,78.18537622777605,05/05/1953
8858,Murder,Rajesh Kumar,13:37:00,Kodambakkam,2019-08-27,No,3 years,Anita Sharma,Personal Feud,8.747988452849409,78.16292557900518,20/07/1946
8859,,,01:27:00,Purasawalkam,2020-01-19,No,2 years,Deepak Choudhary,Revenge,8.711742171736072,78.19733319252262,
8860,Fraud,Vikram Rao,19:54:00,Adyar,2024-01-26,Yes,,-,Accidental,8.702452594441482,78.1699776441548,26/02/1950
8861,Cyber Crime,Pooja Mehta,22:32:00,Anna Nagar,2021-09-16,No,3 years,Suresh Iyer,Accidental,8.728340203104203,78.12348307747264,02/03/1948
8862,Murder,Amit Joshi,20:42:00,Adyar,2020-02-17,Yes,5 years,Suresh Iyer,Financial Gain,8.76976313779414,78.15217882076294,27/04/1951
8863,Cyber Crime,Ramesh Gupta,00:37:00,Mylapore,2020-03-28,Yes,2 years,,Accidental,8.758150354256058,78.1992184350015,15/01/1952
8864,Cyber Crime,Rajesh Kumar,15:46:00,Velachery,2016-12-20,Yes,10 years,Suresh Iyer,Personal Feud,8.772428535142756,78.18882899325756,20/06/1946
8865,Kidnapping,Vikram Rao,02:45:00,T. Nagar,2024-09-13,Yes,2 years,Deepak Choudhary,Financial Gain,8.7388835986385,78.15906807741266,27/01/1950
8866,Murder,Pooja Mehta,10:31:00,Adyar,2018-07-02,Yes,1 year,Deepak Choudhary,,8.778418312763739,78.15480810460494,01/02/1948
8867,Kidnapping,Anita Sharma,04:04:00,Kodambakkam,2019-04-27,No,10 years,Anita Sharma,Revenge,8.710791390719745,78.14158254411971,14/08/1945
8868,Kidnapping,Pooja Mehta,18:23:00,Velachery,2022-10-01,No,,Suresh Iyer,,8.7309327694763,78.1485672479544,02/01/1948
8869,Drug Possession,,12:12:00,Royapettah,2020-06-26,No,,Anita Sharma,Political,8.769172148682856,78.13500444178622,
8870,Assault,Mohan Verma,03:18:00,Royapettah,2015-06-20,No,2 years,,Financial Gain,8.755455351808868,78.14840821825254,05/04/1953
8871,Drug Possession,Rajesh Kumar,22:04:00,Kodambakkam,2021-08-11,No,6 months,,Self-Defense,8.785894036715034,78.19818059179919,21/05/1946
8872,Cyber Crime,Amit Joshi,09:24:00,Mylapore,2022-12-22,No,3 years,,Political,8.76665555430312,78.14968488044495,28/03/1951
8873,Theft,Pooja Mehta,16:08:00,Mylapore,2017-07-14,Yes,10 years,Anita Sharma,Self-Defense,8.752479867902428,78.16238390766262,03/12/1947
8874,Murder,Mohan Verma,10:01:00,T. Nagar,2019-09-18,Yes,2 years,Mohan Verma,,8.781957383092923,78.15757034123553,06/03/1953
8875,Murder,Ramesh Gupta,14:28:00,,2021-08-18,No,10 years,Suresh Iyer,Accidental,8.711156903445747,78.16318743402668,16/12/1951
8876,Theft,Mohan Verma,14:20:00,Kodambakkam,2022-10-03,No,2 years,Deepak Choudhary,Financial Gain,8.799499285032345,78.14340241561186,04/02/1953
8877,Drug Possession,Pooja Mehta,03:56:00,T. Nagar,2022-11-07,Yes,3 years,Anita Sharma,Accidental,8.778033494629641,78.18082432670342,03/11/1947
8878,Theft,Ramesh Gupta,03:34:00,Adyar,2023-03-02,No,6 months,,Self-Defense,8.76229285279243,78.16167538196889,16/11/1951
8879,Kidnapping,Rajesh Kumar,05:04:00,Royapettah,2018-10-28,No,2 years,,Revenge,8.781200151240645,78.1706095492999,21/04/1946
8880,Fraud,Amit Joshi,04:35:00,Anna Nagar,2017-05-11,Yes,10 years,-,,8.731859452128976,78.10875793173733,26/02/1951
8881,Fraud,Ramesh Gupta,05:11:00,Mylapore,2016-06-03,Yes,3 years,,Accidental,8.799892465458507,78.16083895473982,17/10/1951
8882,Theft,Anita Sharma,08:14:00,Royapettah,2024-11-07,Yes,10 years,Anita Sharma,Personal Feud,8.761450501227847,78.11185600068455,15/07/1945
8883,Kidnapping,Vikram Rao,09:18:00,Anna Nagar,2022-08-01,No,10 years,,Financial Gain,8.772247379470908,78.17205961223203,28/12/1949
8884,Kidnapping,Amit Joshi,21:26:00,Royapettah,2020-03-25,Yes,10 years,,Financial Gain,8.762854210230312,78.18319259271755,27/01/1951
8885,Assault,Rajesh Kumar,14:56:00,Royapettah,2023-08-11,Yes,5 years,Mohan Verma,Accidental,8.73516614114942,78.19201563686516,22/03/1946
8886,Kidnapping,Ramesh Gupta,21:39:00,Anna Nagar,2019-09-01,No,10 years,Deepak Choudhary,Political,8.777517861585697,78.19538426563233,17/09/1951
8887,Theft,Rajesh Kumar,17:07:00,Mylapore,2018-10-17,Yes,3 years,Anita Sharma,Accidental,8.788746386762071,78.17587156796715,20/02/1946
8888,Theft,Nikita Sinha,01:06:00,T. Nagar,2015-11-02,Yes,6 months,Deepak Choudhary,Political,8.776558307002789,78.11579171307747,26/12/1947
8889,Assault,Pooja Mehta,08:15:00,Mylapore,2020-06-10,Yes,5 years,,Financial Gain,8.760302687001081,78.11379246579742,04/10/1947
8890,Theft,Nikita Sinha,21:40:00,Mylapore,2022-06-19,No,2 years,Mohan Verma,,8.78289768279972,78.18532286516508,26/11/1947
8891,Kidnapping,Amit Joshi,16:00:00,Purasawalkam,2021-07-08,Yes,1 year,Suresh Iyer,Self-Defense,8.710495357101264,78.1479118790333,28/12/1950
8892,Theft,Anita Sharma,10:18:00,Anna Nagar,2017-07-24,No,,Deepak Choudhary,Revenge,8.76255609524727,78.19300876890415,15/06/1945
8893,Kidnapping,Anita Sharma,23:49:00,Purasawalkam,2023-02-21,No,5 years,Suresh Iyer,Accidental,8.733086713642436,78.12867085925875,16/05/1945
8894,Kidnapping,Deepak Choudhary,05:31:00,Anna Nagar,2017-10-22,Yes,,Suresh Iyer,Accidental,8.74441749571248,78.14052601948185,31/07/1958
8895,Murder,Pooja Mehta,19:03:00,T. Nagar,2021-12-11,No,3 years,Deepak Choudhary,,8.723215929671634,78.1655549872987,04/09/1947
8896,Fraud,Ramesh Gupta,17:22:00,Royapettah,2015-12-22,No,3 years,Deepak Choudhary,Political,8.792827715929867,78.18506485932646,18/08/1951
8897,Theft,Anita Sharma,07:40:00,Mylapore,2016-01-10,No,10 years,Deepak Choudhary,Accidental,8.741583720098792,78.12660502277862,16/04/1945
8898,Assault,Deepak Choudhary,00:53:00,Velachery,2022-11-27,No,5 years,Deepak Choudhary,Revenge,8.731706054794342,78.16907056437422,01/07/1958
8899,Drug Possession,Ramesh Gupta,14:29:00,,2017-02-07,Yes,5 years,Mohan Verma,Accidental,8.726550999920308,78.1642375514806,19/07/1951
8900,Cyber Crime,Mohan Verma,16:16:00,Adyar,2020-04-26,No,10 years,Deepak Choudhary,Personal Feud,8.77176736536594,78.18514900993884,05/01/1953
